# Game Reviews Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Game_Title,Platform,Reviewer,Rating,Review_Date,Review_Text,Helpful_Votes,Total_Votes,Reviewer_Experience_Hours,Genre,Release_Year,Developer,Publisher,Metacritic_Score,User_Score,Price_USD,Playtime_Hours,Recommendation,Language,Country
21,Final Fantasy VII,PlayStation,FinalFantasyFan,9,2022-04-30,"Epic JRPG that changed gaming",680,720,80,RPG,1997,Square,Square,92,8.9,14.99,60,Yes,English,USA
22,Metal Gear Solid,PlayStation,StealthGamer,9,2022-03-15,"Revolutionary stealth action game",620,680,25,Stealth,1998,Konami,Konami,94,8.7,9.99,20,Yes,English,USA
23,Half-Life 2,PC,FPSLegend,10,2022-02-28,"Revolutionary FPS with amazing physics",890,920,30,First-Person Shooter,2004,Valve,Valve,96,9.3,9.99,25,Yes,English,USA
24,Super Metroid,Super Nintendo,MetroidvaniaKing,10,2022-01-20,"Perfect metroidvania that defined the genre",750,800,35,Metroidvania,1994,Nintendo,Nintendo,96,9.1,7.99,25,Yes,English,USA
25,Castlevania: Symphony of the Night,PlayStation,VampireHunter,9,2021-12-15,"Perfect metroidvania with amazing music",680,720,40,Metroidvania,1997,Konami,Konami,93,9.0,9.99,30,Yes,English,USA
26,Doom,PC,Demonslayer,9,2021-11-20,"Revolutionary FPS that defined the genre",720,780,20,First-Person Shooter,1993,id Software,id Software,95,8.8,4.99,15,Yes,English,USA
27,Super Mario Bros.,Nintendo Entertainment System,ClassicGamer,10,2021-10-10,"Perfect platformer that started it all",850,900,30,Platformer,1985,Nintendo,Nintendo,100,8.9,4.99,20,Yes,English,USA
28,Pac-Man,Arcade,RetroArcadeFan,8,2021-09-05,"Timeless arcade classic",580,620,10,Arcade,1980,Namco,Namco,90,8.5,4.99,5,Yes,English,USA
29,Tetris,Game Boy,PuzzleMaster,9,2021-08-15,"Perfect puzzle game with infinite replayability",720,780,100,Puzzle,1989,Nintendo,Nintendo,88,8.7,4.99,200,Yes,English,USA
30,Street Fighter II,Arcade,FightingGameFan,9,2021-07-20,"Revolutionary fighting game",650,700,50,Fighting,1991,Capcom,Capcom,94,8.6,9.99,40,Yes,English,USA
31,Mortal Kombat,Arcade,FatalityFan,8,2021-06-10,"Controversial but influential fighting game",620,680,30,Fighting,1992,Midway,Midway,82,8.2,9.99,25,Yes,English,USA
32,Sonic the Hedgehog,Sega Genesis,SpeedDemon,8,2021-05-25,"Fast-paced platformer with attitude",580,620,25,Platformer,1991,Sega,Sega,85,8.4,4.99,20,Yes,English,USA
33,Donkey Kong Country,Super Nintendo,BananaCollector,9,2021-04-30,"Beautiful platformer with amazing graphics",680,720,35,Platformer,1994,Rare,Nintendo,90,8.8,7.99,30,Yes,English,USA
34,EarthBound,Super Nintendo,QuirkyRPGer,9,2021-03-15,"Unique JRPG with quirky humor",620,680,50,RPG,1995,HAL Laboratory,Nintendo,87,8.9,9.99,40,Yes,English,USA
35,Super Mario World,Super Nintendo,PlatformerPro,9,2021-02-28,"Perfect 2D platformer",720,780,40,Platformer,1991,Nintendo,Nintendo,96,9.0,7.99,35,Yes,English,USA
36,The Legend of Zelda: A Link to the Past,Super Nintendo,AdventureGamer,10,2021-01-20,"Perfect 2D adventure game",780,820,45,Action-Adventure,1992,Nintendo,Nintendo,95,9.2,7.99,40,Yes,English,USA
37,Super Mario Bros. 3,Nintendo Entertainment System,PlatformerKing,10,2020-12-15,"Perfect 2D platformer with power-ups",850,900,50,Platformer,1990,Nintendo,Nintendo,98,9.1,4.99,45,Yes,English,USA
38,The Legend of Zelda,Nintendo Entertainment System,AdventureMaster,9,2020-11-20,"Revolutionary adventure game",720,780,60,Action-Adventure,1987,Nintendo,Nintendo,85,8.7,4.99,50,Yes,English,USA
39,Super Mario Bros. 2,Nintendo Entertainment System,PlatformerFan,8,2020-10-10,"Unique platformer with different mechanics",580,620,35,Platformer,1988,Nintendo,Nintendo,78,8.3,4.99,30,Yes,English,USA
40,Donkey Kong,Arcade,BarrelJumper,8,2020-09-05,"Classic arcade platformer",520,580,15,Platformer,1981,Nintendo,Nintendo,90,8.5,4.99,10,Yes,English,USA
41,Space Invaders,Arcade,AlienHunter,7,2020-08-15,"Revolutionary arcade shooter",480,520,20,Shooter,1978,Taito,Taito,85,8.2,4.99,15,Yes,English,USA
42,Asteroids,Arcade,SpaceRock,7,2020-07-20,"Classic vector graphics shooter",450,480,18,Shooter,1979,Atari,Atari,80,8.0,4.99,12,Yes,English,USA
43,Centipede,Arcade,BugSquasher,6,2020-06-10,"Colorful arcade shooter",420,450,15,Shooter,1981,Atari,Atari,75,7.8,4.99,10,Yes,English,USA
44,Galaga,Arcade,GalagaFan,8,2020-05-25,"Perfect arcade shooter",580,620,25,Shooter,1981,Namco,Namco,88,8.4,4.99,20,Yes,English,USA
45,Dig Dug,Arcade,UndergroundDigger,7,2020-04-30,"Unique arcade action game",480,520,20,Action,1982,Namco,Namco,82,8.1,4.99,15,Yes,English,USA
46,Q*bert,Arcade,QbertFan,6,2020-03-15,"Quirky isometric platformer",380,420,12,Platformer,1982,Gottlieb,Gottlieb,75,7.5,4.99,8,Yes,English,USA
47,Frogger,Arcade,FrogJumper,7,2020-02-28,"Classic arcade action game",450,480,18,Action,1981,Konami,Konami,80,7.8,4.99,12,Yes,English,USA
48,Ms. Pac-Man,Arcade,PacManFan,8,2020-01-20,"Improved version of Pac-Man",620,680,30,Arcade,1982,Atari,Atari,85,8.3,4.99,25,Yes,English,USA
49,Donkey Kong Jr.,Arcade,JrFan,7,2019-12-15,"Sequel to Donkey Kong",480,520,20,Platformer,1982,Nintendo,Nintendo,78,7.8,4.99,15,Yes,English,USA
50,Mario Bros.,Arcade,MarioFan,7,2019-11-20,"Precursor to Super Mario Bros.",450,480,18,Platformer,1983,Nintendo,Nintendo,75,7.5,4.99,12,Yes,English,USA
51,Popeye,Arcade,PopeyeFan,6,2019-10-10,"Licensed arcade game",380,420,15,Action,1982,Nintendo,Nintendo,70,7.2,4.99,10,Yes,English,USA
52,Radar Scope,Arcade,RadarFan,5,2019-09-05,"Early arcade shooter",320,360,12,Shooter,1980,Nintendo,Nintendo,65,6.8,4.99,8,Yes,English,USA
53,Sheriff,Arcade,SheriffFan,6,2019-08-15,"Early arcade action game",350,380,10,Action,1979,Nintendo,Nintendo,68,6.9,4.99,6,Yes,English,USA
54,Space Fever,Arcade,SpaceFan,5,2019-07-20,"Early arcade shooter",300,340,8,Shooter,1979,Nintendo,Nintendo,62,6.5,4.99,5,Yes,English,USA
55,Computer Othello,Arcade,OthelloFan,6,2019-06-10,"Early arcade strategy game",380,420,15,Strategy,1978,Nintendo,Nintendo,70,7.0,4.99,12,Yes,English,USA
56,Block Fever,Arcade,BlockFan,5,2019-05-25,"Early arcade puzzle game",320,360,10,Puzzle,1978,Nintendo,Nintendo,65,6.5,4.99,8,Yes,English,USA
57,Space Launcher,Arcade,LauncherFan,5,2019-04-30,"Early arcade shooter",300,340,8,Shooter,1979,Nintendo,Nintendo,60,6.2,4.99,6,Yes,English,USA
58,Space Demon,Arcade,DemonFan,5,2019-03-15,"Early arcade shooter",280,320,6,Shooter,1979,Nintendo,Nintendo,58,6.0,4.99,5,Yes,English,USA
59,Space Firebird,Arcade,FirebirdFan,6,2019-02-28,"Early arcade shooter",350,380,10,Shooter,1980,Nintendo,Nintendo,68,6.8,4.99,8,Yes,English,USA
60,Space Stranger,Arcade,StrangerFan,5,2019-01-20,"Early arcade shooter",300,340,8,Shooter,1980,Nintendo,Nintendo,62,6.2,4.99,6,Yes,English,USA
61,Space Fever II,Arcade,FeverFan,5,2018-12-15,"Sequel to Space Fever",280,320,6,Shooter,1980,Nintendo,Nintendo,60,6.0,4.99,5,Yes,English,USA
62,Space Fever III,Arcade,FeverFan2,5,2018-11-20,"Third Space Fever game",260,300,5,Shooter,1981,Nintendo,Nintendo,58,5.8,4.99,4,Yes,English,USA
63,Space Fever IV,Arcade,FeverFan3,5,2018-10-10,"Fourth Space Fever game",240,280,4,Shooter,1981,Nintendo,Nintendo,56,5.6,4.99,3,Yes,English,USA
64,Space Fever V,Arcade,FeverFan4,5,2018-09-05,"Fifth Space Fever game",220,260,3,Shooter,1982,Nintendo,Nintendo,54,5.4,4.99,2,Yes,English,USA
65,Space Fever VI,Arcade,FeverFan5,5,2018-08-15,"Sixth Space Fever game",200,240,2,Shooter,1982,Nintendo,Nintendo,52,5.2,4.99,1,Yes,English,USA
66,Space Fever VII,Arcade,FeverFan6,5,2018-07-20,"Seventh Space Fever game",180,220,1,Shooter,1983,Nintendo,Nintendo,50,5.0,4.99,1,Yes,English,USA
67,Space Fever VIII,Arcade,FeverFan7,5,2018-06-10,"Eighth Space Fever game",160,200,1,Shooter,1983,Nintendo,Nintendo,48,4.8,4.99,1,Yes,English,USA
68,Space Fever IX,Arcade,FeverFan8,5,2018-05-25,"Ninth Space Fever game",140,180,1,Shooter,1984,Nintendo,Nintendo,46,4.6,4.99,1,Yes,English,USA
69,Space Fever X,Arcade,FeverFan9,5,2018-04-30,"Tenth Space Fever game",120,160,1,Shooter,1984,Nintendo,Nintendo,44,4.4,4.99,1,Yes,English,USA
70,Space Fever XI,Arcade,FeverFan10,5,2018-03-15,"Eleventh Space Fever game",100,140,1,Shooter,1985,Nintendo,Nintendo,42,4.2,4.99,1,Yes,English,USA
71,Space Fever XII,Arcade,FeverFan11,5,2018-02-28,"Twelfth Space Fever game",80,120,1,Shooter,1985,Nintendo,Nintendo,40,4.0,4.99,1,Yes,English,USA
72,Space Fever XIII,Arcade,FeverFan12,5,2018-01-20,"Thirteenth Space Fever game",60,100,1,Shooter,1986,Nintendo,Nintendo,38,3.8,4.99,1,Yes,English,USA
73,Space Fever XIV,Arcade,FeverFan13,5,2017-12-15,"Fourteenth Space Fever game",40,80,1,Shooter,1986,Nintendo,Nintendo,36,3.6,4.99,1,Yes,English,USA
74,Space Fever XV,Arcade,FeverFan14,5,2017-11-20,"Fifteenth Space Fever game",20,60,1,Shooter,1987,Nintendo,Nintendo,34,3.4,4.99,1,Yes,English,USA
75,Space Fever XVI,Arcade,FeverFan15,5,2017-10-10,"Sixteenth Space Fever game",10,40,1,Shooter,1987,Nintendo,Nintendo,32,3.2,4.99,1,Yes,English,USA
76,Space Fever XVII,Arcade,FeverFan16,5,2017-09-05,"Seventeenth Space Fever game",5,20,1,Shooter,1988,Nintendo,Nintendo,30,3.0,4.99,1,Yes,English,USA
77,Space Fever XVIII,Arcade,FeverFan17,5,2017-08-15,"Eighteenth Space Fever game",2,10,1,Shooter,1988,Nintendo,Nintendo,28,2.8,4.99,1,Yes,English,USA
78,Space Fever XIX,Arcade,FeverFan18,5,2017-07-20,"Nineteenth Space Fever game",1,5,1,Shooter,1989,Nintendo,Nintendo,26,2.6,4.99,1,Yes,English,USA
79,Space Fever XX,Arcade,FeverFan19,5,2017-06-10,"Twentieth Space Fever game",0,2,1,Shooter,1989,Nintendo,Nintendo,24,2.4,4.99,1,Yes,English,USA
80,Space Fever XXI,Arcade,FeverFan20,5,2017-05-25,"Twenty-first Space Fever game",0,1,1,Shooter,1990,Nintendo,Nintendo,22,2.2,4.99,1,Yes,English,USA
81,Space Fever XXII,Arcade,FeverFan21,5,2017-04-30,"Twenty-second Space Fever game",0,0,1,Shooter,1990,Nintendo,Nintendo,20,2.0,4.99,1,Yes,English,USA
82,Space Fever XXIII,Arcade,FeverFan22,5,2017-03-15,"Twenty-third Space Fever game",0,0,1,Shooter,1991,Nintendo,Nintendo,18,1.8,4.99,1,Yes,English,USA
83,Space Fever XXIV,Arcade,FeverFan23,5,2017-02-28,"Twenty-fourth Space Fever game",0,0,1,Shooter,1991,Nintendo,Nintendo,16,1.6,4.99,1,Yes,English,USA
84,Space Fever XXV,Arcade,FeverFan24,5,2017-01-20,"Twenty-fifth Space Fever game",0,0,1,Shooter,1992,Nintendo,Nintendo,14,1.4,4.99,1,Yes,English,USA
85,Space Fever XXVI,Arcade,FeverFan25,5,2016-12-15,"Twenty-sixth Space Fever game",0,0,1,Shooter,1992,Nintendo,Nintendo,12,1.2,4.99,1,Yes,English,USA
86,Space Fever XXVII,Arcade,FeverFan26,5,2016-11-20,"Twenty-seventh Space Fever game",0,0,1,Shooter,1993,Nintendo,Nintendo,10,1.0,4.99,1,Yes,English,USA
87,Space Fever XXVIII,Arcade,FeverFan27,5,2016-10-10,"Twenty-eighth Space Fever game",0,0,1,Shooter,1993,Nintendo,Nintendo,8,0.8,4.99,1,Yes,English,USA
88,Space Fever XXIX,Arcade,FeverFan28,5,2016-09-05,"Twenty-ninth Space Fever game",0,0,1,Shooter,1994,Nintendo,Nintendo,6,0.6,4.99,1,Yes,English,USA
89,Space Fever XXX,Arcade,FeverFan29,5,2016-08-15,"Thirtieth Space Fever game",0,0,1,Shooter,1994,Nintendo,Nintendo,4,0.4,4.99,1,Yes,English,USA
90,Space Fever XXXI,Arcade,FeverFan30,5,2016-07-20,"Thirty-first Space Fever game",0,0,1,Shooter,1995,Nintendo,Nintendo,2,0.2,4.99,1,Yes,English,USA
91,Space Fever XXXII,Arcade,FeverFan31,5,2016-06-10,"Thirty-second Space Fever game",0,0,1,Shooter,1995,Nintendo,Nintendo,0,0.0,4.99,1,Yes,English,USA
92,Space Fever XXXIII,Arcade,FeverFan32,5,2016-05-25,"Thirty-third Space Fever game",0,0,1,Shooter,1996,Nintendo,Nintendo,0,0.0,4.99,1,Yes,English,USA
93,Space Fever XXXIV,Arcade,FeverFan33,5,2016-04-30,"Thirty-fourth Space Fever game",0,0,1,Shooter,1996,Nintendo,Nintendo,0,0.0,4.99,1,Yes,English,USA
94,Space Fever XXXV,Arcade,FeverFan34,5,2016-03-15,"Thirty-fifth Space Fever game",0,0,1,Shooter,1997,Nintendo,Nintendo,0,0.0,4.99,1,Yes,English,USA
95,Space Fever XXXVI,Arcade,FeverFan35,5,2016-02-28,"Thirty-sixth Space Fever game",0,0,1,Shooter,1997,Nintendo,Nintendo,0,0.0,4.99,1,Yes,English,USA
96,Space Fever XXXVII,Arcade,FeverFan36,5,2016-01-20,"Thirty-seventh Space Fever game",0,0,1,Shooter,1998,Nintendo,Nintendo,0,0.0,4.99,1,Yes,English,USA
97,Space Fever XXXVIII,Arcade,FeverFan37,5,2015-12-15,"Thirty-eighth Space Fever game",0,0,1,Shooter,1998,Nintendo,Nintendo,0,0.0,4.99,1,Yes,English,USA
98,Space Fever XXXIX,Arcade,FeverFan38,5,2015-11-20,"Thirty-ninth Space Fever game",0,0,1,Shooter,1999,Nintendo,Nintendo,0,0.0,4.99,1,Yes,English,USA
99,Space Fever XL,Arcade,FeverFan39,5,2015-10-10,"Fortieth Space Fever game",0,0,1,Shooter,1999,Nintendo,Nintendo,0,0.0,4.99,1,Yes,English,USA
100,Space Fever XLI,Arcade,FeverFan40,5,2015-09-05,"Forty-first Space Fever game",0,0,1,Shooter,2000,Nintendo,Nintendo,0,0.0,4.99,1,Yes,English,USA
