# Recipe Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Recipe_Name,Cuisine_Type,Prep_Time_Minutes,Cook_Time_Minutes,Total_Time_Minutes,Difficulty_Level,Servings,Calories_Per_Serving,Main_Ingredients,Cooking_Method,Dietary_Tags,Rating_Out_Of_5,Popularity_Score
26,Beef Stroganoff,Russian,25,30,55,Medium,6,480,Beef Mushrooms Sour Cream Noodles,Simmering,Non-Vegetarian,4.4,79
27,Vegetable Lasagna,Italian,45,60,105,Hard,8,420,Pasta Tomatoes Zucchini Ricotta,Baking,Vegetarian,4.6,82
28,Chicken Satay,Thai,30,20,50,Medium,6,380,Chicken Coconut Milk Peanuts Curry Paste,Grilling,Non-Vegetarian,4.7,85
29,Beef Pho,Vietnamese,60,120,180,Hard,8,420,Beef Rice Noodles Herbs Broth,Simmering,Non-Vegetarian,4.8,88
30,Vegetable Soup,American,15,30,45,Easy,6,120,Carrots Celery Onions Tomatoes,Simmering,Vegetarian,4.1,72
31,Chicken Wings,American,20,45,65,Medium,6,480,Chicken Wings Hot Sauce Butter,Baking Frying,Non-Vegetarian,4.5,84
32,Beef Kebabs,Middle Eastern,30,20,50,Medium,4,420,Beef Onions Bell Peppers Herbs,Grilling,Non-Vegetarian,4.6,81
33,Vegetable Pasta,Italian,15,20,35,Easy,4,320,Pasta Tomatoes Basil Olive Oil,Boiling,Vegetarian,4.2,75
34,Chicken Fried Rice,Chinese,15,15,30,Easy,4,420,Rice Chicken Eggs Vegetables,Stir-frying,Non-Vegetarian,4.4,80
35,Beef Chili,American,20,60,80,Medium,8,380,Ground Beef Beans Tomatoes Chili Powder,Simmering,Non-Vegetarian,4.5,78
36,Vegetable Risotto,Italian,30,25,55,Medium,4,380,Rice Mushrooms Parmesan Wine,Simmering,Vegetarian,4.6,79
37,Chicken Salad,American,20,0,20,Easy,4,280,Chicken Lettuce Tomatoes Cucumber,Mixing,Non-Vegetarian,4.3,76
38,Beef Burger,American,15,15,30,Easy,4,520,Beef Patty Bun Lettuce Tomato,Grilling,Non-Vegetarian,4.4,82
39,Vegetable Pizza,Italian,30,15,45,Medium,6,320,Pizza Dough Tomatoes Bell Peppers Mushrooms,Baking,Vegetarian,4.5,83
40,Chicken Soup,American,20,40,60,Easy,6,220,Chicken Carrots Celery Noodles,Simmering,Non-Vegetarian,4.2,74
41,Beef Stew,American,30,120,150,Medium,6,420,Beef Potatoes Carrots Onions,Braising,Non-Vegetarian,4.6,80
42,Vegetable Salad,American,15,0,15,Easy,4,120,Lettuce Tomatoes Cucumber Olive Oil,Mixing,Vegetarian,4.1,68
43,Chicken Pasta,Italian,20,25,45,Medium,4,480,Pasta Chicken Tomatoes Basil,Boiling Simmering,Non-Vegetarian,4.5,81
44,Beef Sandwich,American,10,15,25,Easy,2,380,Beef Bread Lettuce Tomato,Grilling,Non-Vegetarian,4.3,77
45,Vegetable Omelet,French,10,10,20,Easy,2,280,Eggs Bell Peppers Onions Cheese,Frying,Vegetarian,4.4,73
46,Chicken Rice,Chinese,15,25,40,Easy,4,380,Rice Chicken Soy Sauce Vegetables,Steaming,Non-Vegetarian,4.3,78
47,Beef Pasta,Italian,20,20,40,Medium,4,520,Pasta Beef Tomatoes Herbs,Boiling Simmering,Non-Vegetarian,4.6,82
48,Vegetable Sandwich,American,15,0,15,Easy,2,220,Bread Lettuce Tomato Cucumber,Mixing,Vegetarian,4.2,71
49,Chicken Noodles,Chinese,15,20,35,Easy,4,420,Noodles Chicken Vegetables Soy Sauce,Boiling Stir-frying,Non-Vegetarian,4.4,79
50,Beef Rice,Asian,20,25,45,Medium,4,450,Rice Beef Vegetables Soy Sauce,Steaming Stir-frying,Non-Vegetarian,4.5,80
51,Vegetable Pasta Salad,Italian,20,0,20,Easy,4,280,Pasta Tomatoes Olives Basil,Mixing,Vegetarian,4.3,75
52,Chicken Wrap,American,15,10,25,Easy,2,380,Tortilla Chicken Lettuce Tomato,Wrapping,Non-Vegetarian,4.4,76
53,Beef Noodles,Chinese,15,20,35,Easy,4,480,Noodles Beef Vegetables Broth,Boiling,Non-Vegetarian,4.5,81
54,Vegetable Soup,Italian,20,30,50,Easy,6,150,Tomatoes Basil Onions Olive Oil,Simmering,Vegetarian,4.2,72
55,Chicken Rice Bowl,Asian,20,25,45,Medium,4,420,Rice Chicken Vegetables Soy Sauce,Steaming Stir-frying,Non-Vegetarian,4.6,83
56,Beef Salad,American,15,0,15,Easy,4,320,Lettuce Beef Tomatoes Cucumber,Mixing,Non-Vegetarian,4.3,74
57,Vegetable Pasta,Italian,15,20,35,Easy,4,300,Pasta Tomatoes Zucchini Basil,Boiling,Vegetarian,4.4,77
58,Chicken Sandwich,American,15,15,30,Easy,2,420,Bread Chicken Lettuce Mayo,Grilling,Non-Vegetarian,4.5,79
59,Beef Soup,American,25,45,70,Medium,6,320,Beef Vegetables Broth Herbs,Simmering,Non-Vegetarian,4.4,76
60,Vegetable Stir Fry,Asian,15,15,30,Easy,4,200,Broccoli Carrots Bell Peppers Soy Sauce,Stir-frying,Vegetarian,4.3,74
61,Chicken Pasta,Italian,20,25,45,Medium,4,480,Pasta Chicken Mushrooms Cream,Boiling Simmering,Non-Vegetarian,4.6,82
62,Beef Rice,Chinese,20,25,45,Medium,4,450,Rice Beef Eggs Vegetables,Stir-frying,Non-Vegetarian,4.5,80
63,Vegetable Salad,Mediterranean,15,0,15,Easy,4,180,Lettuce Tomatoes Olives Feta,Mixing,Vegetarian,4.4,76
64,Chicken Noodles,Japanese,20,25,45,Medium,4,420,Ramen Noodles Chicken Eggs Broth,Boiling,Non-Vegetarian,4.7,84
65,Beef Pasta,Italian,25,30,55,Medium,4,520,Pasta Beef Mushrooms Wine,Boiling Simmering,Non-Vegetarian,4.6,83
66,Vegetable Soup,French,25,35,60,Medium,6,160,Leeks Potatoes Cream Herbs,Simmering,Vegetarian,4.3,75
67,Chicken Rice,Thai,20,25,45,Medium,4,420,Rice Chicken Coconut Milk Herbs,Steaming,Non-Vegetarian,4.5,81
68,Beef Salad,Mediterranean,15,0,15,Easy,4,350,Lettuce Beef Olives Feta,Mixing,Non-Vegetarian,4.4,77
69,Vegetable Pasta,Mediterranean,20,25,45,Medium,4,320,Pasta Tomatoes Olives Basil,Boiling,Vegetarian,4.5,78
70,Chicken Soup,Asian,25,40,65,Medium,6,280,Chicken Noodles Vegetables Ginger,Simmering,Non-Vegetarian,4.6,82
71,Beef Noodles,Japanese,20,25,45,Medium,4,480,Udon Noodles Beef Vegetables Broth,Boiling,Non-Vegetarian,4.7,85
72,Vegetable Stir Fry,Thai,20,15,35,Medium,4,220,Broccoli Bell Peppers Coconut Milk Curry Paste,Stir-frying,Vegetarian,4.4,76
73,Chicken Rice,Indian,25,30,55,Medium,4,450,Rice Chicken Yogurt Spices,Steaming,Non-Vegetarian,4.6,83
74,Beef Pasta,French,30,35,65,Medium,4,520,Pasta Beef Mushrooms Cream Wine,Boiling Simmering,Non-Vegetarian,4.7,84
75,Vegetable Soup,Asian,20,30,50,Easy,6,140,Vegetables Ginger Soy Sauce Broth,Simmering,Vegetarian,4.3,73
76,Chicken Noodles,Thai,20,25,45,Medium,4,420,Rice Noodles Chicken Coconut Milk Curry Paste,Boiling,Non-Vegetarian,4.8,86
77,Beef Rice,Korean,25,30,55,Medium,4,450,Rice Beef Kimchi Soy Sauce,Steaming Stir-frying,Non-Vegetarian,4.6,82
78,Vegetable Salad,Asian,15,0,15,Easy,4,160,Lettuce Cucumber Carrots Sesame Oil,Mixing,Vegetarian,4.2,71
79,Chicken Pasta,Greek,25,30,55,Medium,4,480,Pasta Chicken Olives Feta Tomatoes,Boiling,Non-Vegetarian,4.5,80
80,Beef Soup,Korean,30,45,75,Medium,6,320,Beef Vegetables Kimchi Broth,Simmering,Non-Vegetarian,4.7,83
81,Vegetable Stir Fry,Korean,20,15,35,Medium,4,200,Broccoli Carrots Bell Peppers Gochujang,Stir-frying,Vegetarian,4.5,77
82,Chicken Rice,Vietnamese,25,30,55,Medium,4,420,Rice Chicken Fish Sauce Herbs,Steaming,Non-Vegetarian,4.8,87
83,Beef Noodles,Vietnamese,25,30,55,Medium,4,480,Rice Noodles Beef Herbs Broth,Boiling,Non-Vegetarian,4.9,89
84,Vegetable Soup,Vietnamese,25,35,60,Medium,6,150,Vegetables Herbs Fish Sauce Broth,Simmering,Vegetarian,4.4,75
85,Chicken Pasta,Spanish,25,30,55,Medium,4,480,Pasta Chicken Tomatoes Saffron,Boiling Simmering,Non-Vegetarian,4.6,81
86,Beef Rice,Spanish,25,30,55,Medium,4,450,Rice Beef Tomatoes Saffron,Steaming,Non-Vegetarian,4.5,79
87,Vegetable Salad,Spanish,15,0,15,Easy,4,180,Lettuce Tomatoes Olives Olive Oil,Mixing,Vegetarian,4.3,74
88,Chicken Soup,Spanish,25,40,65,Medium,6,280,Chicken Vegetables Saffron Broth,Simmering,Non-Vegetarian,4.5,78
89,Beef Pasta,Portuguese,30,35,65,Medium,4,520,Pasta Beef Tomatoes Wine,Boiling Simmering,Non-Vegetarian,4.7,82
90,Vegetable Stir Fry,Portuguese,20,15,35,Medium,4,200,Broccoli Carrots Bell Peppers Olive Oil,Stir-frying,Vegetarian,4.4,76
91,Chicken Rice,Brazilian,25,30,55,Medium,4,420,Rice Chicken Coconut Milk Herbs,Steaming,Non-Vegetarian,4.6,80
92,Beef Noodles,Brazilian,25,30,55,Medium,4,480,Noodles Beef Coconut Milk Herbs,Boiling,Non-Vegetarian,4.7,83
93,Vegetable Soup,Brazilian,25,35,60,Medium,6,160,Vegetables Coconut Milk Herbs Broth,Simmering,Vegetarian,4.3,73
94,Chicken Pasta,Brazilian,25,30,55,Medium,4,480,Pasta Chicken Coconut Milk Herbs,Boiling Simmering,Non-Vegetarian,4.5,79
95,Beef Rice,Brazilian,25,30,55,Medium,4,450,Rice Beef Coconut Milk Herbs,Steaming,Non-Vegetarian,4.6,81
96,Vegetable Salad,Brazilian,15,0,15,Easy,4,180,Lettuce Tomatoes Coconut Milk Herbs,Mixing,Vegetarian,4.2,72
97,Chicken Soup,Brazilian,25,40,65,Medium,6,280,Chicken Vegetables Coconut Milk Broth,Simmering,Non-Vegetarian,4.4,76
98,Beef Pasta,Brazilian,30,35,65,Medium,4,520,Pasta Beef Coconut Milk Wine,Boiling Simmering,Non-Vegetarian,4.6,82
99,Vegetable Stir Fry,Brazilian,20,15,35,Medium,4,200,Broccoli Carrots Bell Peppers Coconut Milk,Stir-frying,Vegetarian,4.3,74
100,Chicken Rice,Brazilian,25,30,55,Medium,4,420,Rice Chicken Coconut Milk Herbs,Steaming,Non-Vegetarian,4.5,78
