# Alcohol & Beverage Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Beverage_Name,Brand,Category,Type,Alcohol_Percent,Price_USD,Size_ml,Origin_Country,Production_Year,ABV_Range,Color,Flavor_Profile,Aging_Years,Price_Per_Liter_USD,Consumption_Rate_Liters_Per_Capita,Market_Share_Percent,Popularity_Rating,Food_Pairing,Storage_Temperature_Celsius,Serving_Glass
73,Liqueur Cointreau,Cointreau,Liqueurs,Orange,40.0,32.99,750,France,2022,35-45,Clear,Orange,0,43.99,1.8,1.2,4.6,Margarita,4,Cocktail Glass
74,Liqueur Chambord,Chambord,Liqueurs,Raspberry,16.5,29.99,750,France,2022,15-20,Purple,Raspberry,0,39.99,1.2,0.8,4.5,Champagne,4,Cocktail Glass
75,Liqueur Frangelico,Frangelico,Liqueurs,Hazelnut,20.0,26.99,750,Italy,2022,18-25,Brown,Hazelnut,0,35.99,1.5,0.9,4.4,Coffee,4,Shot Glass
76,Liqueur Galliano,Galliano,Liqueurs,Herbal,42.3,28.99,750,Italy,2022,40-45,Golden,Vanilla,0,38.65,0.8,0.5,4.5,Harvey Wallbanger,4,Cocktail Glass
77,Liqueur Jägermeister,Jägermeister,Liqueurs,Herbal,35.0,24.99,750,Germany,2022,30-40,Brown,Herbal,0,33.32,3.5,2.2,4.4,Shot,4,Shot Glass
78,Liqueur Limoncello,Limoncello,Liqueurs,Lemon,28.0,19.99,750,Italy,2022,25-30,Yellow,Lemon,0,26.65,2.2,1.5,4.3,Dessert,4,Shot Glass
79,Liqueur Sambuca,Sambuca,Liqueurs,Anise,38.0,22.99,750,Italy,2022,35-45,Clear,Anise,0,30.65,1.8,1.2,4.4,Coffee,4,Shot Glass
80,Liqueur Tia Maria,Tia Maria,Liqueurs,Coffee,20.0,21.99,750,Jamaica,2022,18-25,Brown,Coffee,0,29.32,1.5,1.0,4.3,Coffee,4,Shot Glass
81,Cocktail Margarita,Patron,Cocktails,Margarita,15.0,12.99,750,Mexico,2022,10-20,Clear,Lime,0,17.32,8.5,4.2,4.5,Tacos,4,Margarita Glass
82,Cocktail Mojito,Bacardi,Cocktails,Mojito,12.0,11.99,750,Cuba,2022,10-15,Clear,Mint,0,15.99,6.8,3.5,4.4,Seafood,4,Highball
83,Cocktail Cosmopolitan,Grey Goose,Cocktails,Cosmopolitan,18.0,14.99,750,France,2022,15-20,Pink,Cranberry,0,19.99,4.2,2.8,4.5,Appetizers,4,Martini Glass
84,Cocktail Manhattan,Woodford Reserve,Cocktails,Manhattan,20.0,16.99,750,USA,2022,18-25,Amber,Whiskey,0,22.65,3.8,2.2,4.6,Steak,4,Cocktail Glass
85,Cocktail Old Fashioned,Woodford Reserve,Cocktails,Old Fashioned,22.0,18.99,750,USA,2022,20-25,Amber,Whiskey,0,25.32,3.2,1.8,4.7,Cigar,4,Rocks Glass
86,Cocktail Martini,Grey Goose,Cocktails,Martini,25.0,15.99,750,France,2022,20-30,Clear,Dry,0,21.32,5.5,3.2,4.6,Oysters,4,Martini Glass
87,Cocktail Negroni,Gin Mare,Cocktails,Negroni,24.0,17.99,750,Italy,2022,20-30,Red,Bitter,0,23.99,2.8,1.5,4.7,Aperitivo,4,Cocktail Glass
88,Cocktail Daiquiri,Bacardi,Cocktails,Daiquiri,16.0,13.99,750,Cuba,2022,15-20,Clear,Lime,0,18.65,3.5,2.2,4.4,Tropical Food,4,Coupe
89,Cocktail Sidecar,Remy Martin,Cocktails,Sidecar,20.0,19.99,750,France,2022,18-25,Golden,Cognac,0,26.65,1.8,1.0,4.6,Dessert,4,Cocktail Glass
90,Cocktail Sazerac,Sazerac,Cocktails,Sazerac,23.0,21.99,750,USA,2022,20-25,Amber,Whiskey,0,29.32,1.2,0.8,4.7,Creole Food,4,Rocks Glass
91,Non-Alcoholic Beer,Heineken 0.0,Non-Alcoholic,Beer,0.0,1.49,330,Netherlands,2022,0,Golden,Crisp,0,4.52,12.5,6.8,4.1,Any Food,4,Pint Glass
92,Non-Alcoholic Wine,Ariel,Non-Alcoholic,Wine,0.0,8.99,750,USA,2022,0,Red,Grape,0,11.99,3.2,2.1,4.2,Any Food,8,Wine Glass
93,Non-Alcoholic Spirits,Seedlip,Non-Alcoholic,Spirits,0.0,29.99,700,England,2022,0,Clear,Herbal,0,42.84,0.8,0.5,4.3,Mocktails,4,Cocktail Glass
94,Non-Alcoholic Champagne,Freixenet,Non-Alcoholic,Champagne,0.0,12.99,750,Spain,2022,0,Pale Gold,Crisp,0,17.32,1.5,1.0,4.2,Celebration,6,Flute
95,Non-Alcoholic Gin,Gordons,Non-Alcoholic,Gin,0.0,19.99,700,England,2022,0,Clear,Botanical,0,28.56,0.6,0.4,4.1,Tonic Water,4,Cocktail Glass
96,Non-Alcoholic Whiskey,Jim Beam,Non-Alcoholic,Whiskey,0.0,24.99,700,USA,2022,0,Amber,Whiskey,0,35.70,0.4,0.3,4.2,Any Food,4,Rocks Glass
97,Non-Alcoholic Rum,Bacardi,Non-Alcoholic,Rum,0.0,22.99,700,Cuba,2022,0,Clear,Rum,0,32.84,0.5,0.3,4.1,Cola,4,Highball
98,Non-Alcoholic Vodka,Smirnoff,Non-Alcoholic,Vodka,0.0,18.99,700,Russia,2022,0,Clear,Neutral,0,27.13,0.8,0.5,4.0,Any Mixer,4,Shot Glass
99,Non-Alcoholic Tequila,Patron,Non-Alcoholic,Tequila,0.0,26.99,700,Mexico,2022,0,Clear,Agave,0,38.56,0.3,0.2,4.1,Lime,4,Shot Glass
100,Non-Alcoholic Liqueur,Baileys,Non-Alcoholic,Liqueur,0.0,16.99,700,Ireland,2022,0,Brown,Creamy,0,24.27,1.2,0.8,4.2,Coffee,4,Shot Glass
