# Street Food Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Food_Name,Country,City,Region,Food_Type,Price_USD,Popularity_Rating,Preparation_Time_Minutes,Main_Ingredients,Spice_Level,Vegetarian_Option,Gluten_Free_Option,Dairy_Free_Option,Street_Vendor_Count,Peak_Hours,Weather_Dependency,Seasonal_Availability,Health_Rating,Calories_Per_Serving,Protein_g,Fat_g,Carbohydrates_g,Fiber_g,Sodium_mg,Preparation_Method,Cooking_Equipment,Service_Style,Average_Daily_Sales,Market_Share_Percent
56,Haggis,Scotland,Edinburgh,Western Europe,Main Course,7.00,3.8,20,"Sheep Organs, Oats",Medium,No,Yes,Yes,200,12:00-15:00,Medium,Year-Round,3.2,350,15.0,20.0,25.0,3.0,600,Boiled,Pot,Walk-up,20,1.5
57,Cornish Pasty,United Kingdom,Cornwall,Western Europe,Main Course,4.50,4.2,12,"Dough, Meat, Vegetables",Low,Yes,No,Yes,1200,12:00-15:00,Medium,Year-Round,3.6,380,15.0,18.0,30.0,2.0,550,Baked,Oven,Walk-up,80,4.8
58,Yorkshire Pudding,United Kingdom,London,Western Europe,Side Dish,2.00,4.1,8,"Flour, Eggs, Milk",Low,Yes,No,No,800,12:00-15:00,Medium,Year-Round,3.3,150,4.0,6.0,20.0,1.0,200,Baked,Oven,Walk-up,40,2.8
59,Sticky Toffee Pudding,United Kingdom,London,Western Europe,Dessert,3.50,4.0,10,"Dates, Cake, Toffee",Low,Yes,No,No,600,19:00-22:00,Medium,Year-Round,2.8,320,4.0,12.0,50.0,2.0,300,Baked,Oven,Walk-up,30,2.2
60,Trifle,United Kingdom,London,Western Europe,Dessert,4.00,3.9,5,"Cake, Custard, Fruit",Low,Yes,No,No,400,19:00-22:00,Medium,Year-Round,2.9,280,6.0,8.0,40.0,2.0,200,Assembled,Cold Prep,Walk-up,25,1.8
61,Fish and Chips,United Kingdom,London,Western Europe,Main Course,6.00,4.3,8,"Fish, Potatoes",Low,No,Yes,Yes,3000,12:00-15:00,High,Year-Round,3.0,550,25.0,25.0,35.0,3.0,600,Fried,Deep Fryer,Walk-up,100,6.8
62,Bangers and Mash,United Kingdom,London,Western Europe,Main Course,5.50,4.2,10,"Sausages, Potatoes",Low,No,Yes,Yes,1500,12:00-15:00,Medium,Year-Round,3.2,480,20.0,22.0,35.0,3.0,800,Boiled,Pot,Walk-up,60,4.2
63,Shepherd's Pie,United Kingdom,London,Western Europe,Main Course,6.50,4.1,15,"Meat, Potatoes, Vegetables",Low,No,Yes,Yes,800,12:00-15:00,Medium,Year-Round,3.4,420,18.0,20.0,30.0,4.0,650,Baked,Oven,Walk-up,40,2.8
64,Scotch Egg,United Kingdom,London,Western Europe,Snack,2.50,4.0,5,"Egg, Sausage, Breadcrumbs",Low,No,Yes,Yes,1000,12:00-15:00,Medium,Year-Round,3.1,280,12.0,18.0,15.0,1.0,500,Fried,Deep Fryer,Walk-up,50,3.5
65,Black Pudding,United Kingdom,London,Western Europe,Snack,3.00,3.9,3,"Blood, Oats, Spices",Low,No,Yes,Yes,500,12:00-15:00,Medium,Year-Round,3.0,200,8.0,12.0,15.0,2.0,400,Fried,Pan,Walk-up,30,2.1
66,Haggis,Scotland,Edinburgh,Western Europe,Main Course,7.00,3.8,20,"Sheep Organs, Oats",Medium,No,Yes,Yes,200,12:00-15:00,Medium,Year-Round,3.2,350,15.0,20.0,25.0,3.0,600,Boiled,Pot,Walk-up,20,1.5
67,Cornish Pasty,United Kingdom,Cornwall,Western Europe,Main Course,4.50,4.2,12,"Dough, Meat, Vegetables",Low,Yes,No,Yes,1200,12:00-15:00,Medium,Year-Round,3.6,380,15.0,18.0,30.0,2.0,550,Baked,Oven,Walk-up,80,4.8
68,Yorkshire Pudding,United Kingdom,London,Western Europe,Side Dish,2.00,4.1,8,"Flour, Eggs, Milk",Low,Yes,No,No,800,12:00-15:00,Medium,Year-Round,3.3,150,4.0,6.0,20.0,1.0,200,Baked,Oven,Walk-up,40,2.8
69,Sticky Toffee Pudding,United Kingdom,London,Western Europe,Dessert,3.50,4.0,10,"Dates, Cake, Toffee",Low,Yes,No,No,600,19:00-22:00,Medium,Year-Round,2.8,320,4.0,12.0,50.0,2.0,300,Baked,Oven,Walk-up,30,2.2
70,Trifle,United Kingdom,London,Western Europe,Dessert,4.00,3.9,5,"Cake, Custard, Fruit",Low,Yes,No,No,400,19:00-22:00,Medium,Year-Round,2.9,280,6.0,8.0,40.0,2.0,200,Assembled,Cold Prep,Walk-up,25,1.8
71,Fish and Chips,United Kingdom,London,Western Europe,Main Course,6.00,4.3,8,"Fish, Potatoes",Low,No,Yes,Yes,3000,12:00-15:00,High,Year-Round,3.0,550,25.0,25.0,35.0,3.0,600,Fried,Deep Fryer,Walk-up,100,6.8
72,Bangers and Mash,United Kingdom,London,Western Europe,Main Course,5.50,4.2,10,"Sausages, Potatoes",Low,No,Yes,Yes,1500,12:00-15:00,Medium,Year-Round,3.2,480,20.0,22.0,35.0,3.0,800,Boiled,Pot,Walk-up,60,4.2
73,Shepherd's Pie,United Kingdom,London,Western Europe,Main Course,6.50,4.1,15,"Meat, Potatoes, Vegetables",Low,No,Yes,Yes,800,12:00-15:00,Medium,Year-Round,3.4,420,18.0,20.0,30.0,4.0,650,Baked,Oven,Walk-up,40,2.8
74,Scotch Egg,United Kingdom,London,Western Europe,Snack,2.50,4.0,5,"Egg, Sausage, Breadcrumbs",Low,No,Yes,Yes,1000,12:00-15:00,Medium,Year-Round,3.1,280,12.0,18.0,15.0,1.0,500,Fried,Deep Fryer,Walk-up,50,3.5
75,Black Pudding,United Kingdom,London,Western Europe,Snack,3.00,3.9,3,"Blood, Oats, Spices",Low,No,Yes,Yes,500,12:00-15:00,Medium,Year-Round,3.0,200,8.0,12.0,15.0,2.0,400,Fried,Pan,Walk-up,30,2.1
76,Haggis,Scotland,Edinburgh,Western Europe,Main Course,7.00,3.8,20,"Sheep Organs, Oats",Medium,No,Yes,Yes,200,12:00-15:00,Medium,Year-Round,3.2,350,15.0,20.0,25.0,3.0,600,Boiled,Pot,Walk-up,20,1.5
77,Cornish Pasty,United Kingdom,Cornwall,Western Europe,Main Course,4.50,4.2,12,"Dough, Meat, Vegetables",Low,Yes,No,Yes,1200,12:00-15:00,Medium,Year-Round,3.6,380,15.0,18.0,30.0,2.0,550,Baked,Oven,Walk-up,80,4.8
78,Yorkshire Pudding,United Kingdom,London,Western Europe,Side Dish,2.00,4.1,8,"Flour, Eggs, Milk",Low,Yes,No,No,800,12:00-15:00,Medium,Year-Round,3.3,150,4.0,6.0,20.0,1.0,200,Baked,Oven,Walk-up,40,2.8
79,Sticky Toffee Pudding,United Kingdom,London,Western Europe,Dessert,3.50,4.0,10,"Dates, Cake, Toffee",Low,Yes,No,No,600,19:00-22:00,Medium,Year-Round,2.8,320,4.0,12.0,50.0,2.0,300,Baked,Oven,Walk-up,30,2.2
80,Trifle,United Kingdom,London,Western Europe,Dessert,4.00,3.9,5,"Cake, Custard, Fruit",Low,Yes,No,No,400,19:00-22:00,Medium,Year-Round,2.9,280,6.0,8.0,40.0,2.0,200,Assembled,Cold Prep,Walk-up,25,1.8
81,Fish and Chips,United Kingdom,London,Western Europe,Main Course,6.00,4.3,8,"Fish, Potatoes",Low,No,Yes,Yes,3000,12:00-15:00,High,Year-Round,3.0,550,25.0,25.0,35.0,3.0,600,Fried,Deep Fryer,Walk-up,100,6.8
82,Bangers and Mash,United Kingdom,London,Western Europe,Main Course,5.50,4.2,10,"Sausages, Potatoes",Low,No,Yes,Yes,1500,12:00-15:00,Medium,Year-Round,3.2,480,20.0,22.0,35.0,3.0,800,Boiled,Pot,Walk-up,60,4.2
83,Shepherd's Pie,United Kingdom,London,Western Europe,Main Course,6.50,4.1,15,"Meat, Potatoes, Vegetables",Low,No,Yes,Yes,800,12:00-15:00,Medium,Year-Round,3.4,420,18.0,20.0,30.0,4.0,650,Baked,Oven,Walk-up,40,2.8
84,Scotch Egg,United Kingdom,London,Western Europe,Snack,2.50,4.0,5,"Egg, Sausage, Breadcrumbs",Low,No,Yes,Yes,1000,12:00-15:00,Medium,Year-Round,3.1,280,12.0,18.0,15.0,1.0,500,Fried,Deep Fryer,Walk-up,50,3.5
85,Black Pudding,United Kingdom,London,Western Europe,Snack,3.00,3.9,3,"Blood, Oats, Spices",Low,No,Yes,Yes,500,12:00-15:00,Medium,Year-Round,3.0,200,8.0,12.0,15.0,2.0,400,Fried,Pan,Walk-up,30,2.1
86,Haggis,Scotland,Edinburgh,Western Europe,Main Course,7.00,3.8,20,"Sheep Organs, Oats",Medium,No,Yes,Yes,200,12:00-15:00,Medium,Year-Round,3.2,350,15.0,20.0,25.0,3.0,600,Boiled,Pot,Walk-up,20,1.5
87,Cornish Pasty,United Kingdom,Cornwall,Western Europe,Main Course,4.50,4.2,12,"Dough, Meat, Vegetables",Low,Yes,No,Yes,1200,12:00-15:00,Medium,Year-Round,3.6,380,15.0,18.0,30.0,2.0,550,Baked,Oven,Walk-up,80,4.8
88,Yorkshire Pudding,United Kingdom,London,Western Europe,Side Dish,2.00,4.1,8,"Flour, Eggs, Milk",Low,Yes,No,No,800,12:00-15:00,Medium,Year-Round,3.3,150,4.0,6.0,20.0,1.0,200,Baked,Oven,Walk-up,40,2.8
89,Sticky Toffee Pudding,United Kingdom,London,Western Europe,Dessert,3.50,4.0,10,"Dates, Cake, Toffee",Low,Yes,No,No,600,19:00-22:00,Medium,Year-Round,2.8,320,4.0,12.0,50.0,2.0,300,Baked,Oven,Walk-up,30,2.2
90,Trifle,United Kingdom,London,Western Europe,Dessert,4.00,3.9,5,"Cake, Custard, Fruit",Low,Yes,No,No,400,19:00-22:00,Medium,Year-Round,2.9,280,6.0,8.0,40.0,2.0,200,Assembled,Cold Prep,Walk-up,25,1.8
91,Fish and Chips,United Kingdom,London,Western Europe,Main Course,6.00,4.3,8,"Fish, Potatoes",Low,No,Yes,Yes,3000,12:00-15:00,High,Year-Round,3.0,550,25.0,25.0,35.0,3.0,600,Fried,Deep Fryer,Walk-up,100,6.8
92,Bangers and Mash,United Kingdom,London,Western Europe,Main Course,5.50,4.2,10,"Sausages, Potatoes",Low,No,Yes,Yes,1500,12:00-15:00,Medium,Year-Round,3.2,480,20.0,22.0,35.0,3.0,800,Boiled,Pot,Walk-up,60,4.2
93,Shepherd's Pie,United Kingdom,London,Western Europe,Main Course,6.50,4.1,15,"Meat, Potatoes, Vegetables",Low,No,Yes,Yes,800,12:00-15:00,Medium,Year-Round,3.4,420,18.0,20.0,30.0,4.0,650,Baked,Oven,Walk-up,40,2.8
94,Scotch Egg,United Kingdom,London,Western Europe,Snack,2.50,4.0,5,"Egg, Sausage, Breadcrumbs",Low,No,Yes,Yes,1000,12:00-15:00,Medium,Year-Round,3.1,280,12.0,18.0,15.0,1.0,500,Fried,Deep Fryer,Walk-up,50,3.5
95,Black Pudding,United Kingdom,London,Western Europe,Snack,3.00,3.9,3,"Blood, Oats, Spices",Low,No,Yes,Yes,500,12:00-15:00,Medium,Year-Round,3.0,200,8.0,12.0,15.0,2.0,400,Fried,Pan,Walk-up,30,2.1
96,Haggis,Scotland,Edinburgh,Western Europe,Main Course,7.00,3.8,20,"Sheep Organs, Oats",Medium,No,Yes,Yes,200,12:00-15:00,Medium,Year-Round,3.2,350,15.0,20.0,25.0,3.0,600,Boiled,Pot,Walk-up,20,1.5
97,Cornish Pasty,United Kingdom,Cornwall,Western Europe,Main Course,4.50,4.2,12,"Dough, Meat, Vegetables",Low,Yes,No,Yes,1200,12:00-15:00,Medium,Year-Round,3.6,380,15.0,18.0,30.0,2.0,550,Baked,Oven,Walk-up,80,4.8
98,Yorkshire Pudding,United Kingdom,London,Western Europe,Side Dish,2.00,4.1,8,"Flour, Eggs, Milk",Low,Yes,No,No,800,12:00-15:00,Medium,Year-Round,3.3,150,4.0,6.0,20.0,1.0,200,Baked,Oven,Walk-up,40,2.8
99,Sticky Toffee Pudding,United Kingdom,London,Western Europe,Dessert,3.50,4.0,10,"Dates, Cake, Toffee",Low,Yes,No,No,600,19:00-22:00,Medium,Year-Round,2.8,320,4.0,12.0,50.0,2.0,300,Baked,Oven,Walk-up,30,2.2
100,Trifle,United Kingdom,London,Western Europe,Dessert,4.00,3.9,5,"Cake, Custard, Fruit",Low,Yes,No,No,400,19:00-22:00,Medium,Year-Round,2.9,280,6.0,8.0,40.0,2.0,200,Assembled,Cold Prep,Walk-up,25,1.8
