# Food Delivery Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Order_ID,Restaurant_Name,Cuisine_Type,Food_Items,Order_Value_USD,Delivery_Time_Minutes,Customer_Rating,Delivery_Platform,Customer_Location,Restaurant_Location,Distance_KM,Delivery_Fee_USD,Service_Fee_USD,Tip_USD,Total_Cost_USD,Order_Date,Delivery_Status,Customer_Age,Customer_Gender,Peak_Hours,Weather_Condition,Traffic_Condition,Restaurant_Rating,Preparation_Time_Minutes,Driver_Rating,Customer_Loyalty_Level
25,FD025,LongHorn Steakhouse,Steakhouse,"Ribeye, Potatoes",32.50,48,4.1,Uber Eats,Downtown,Plaza,7.2,6.99,3.90,6.00,49.39,2023-01-15,Delivered,48,Male,No,Rainy,Heavy,4.1,28,4.3,VIP
26,FD026,Cheesecake Factory,American,"Cheesecake, Pasta",26.80,44,4.2,DoorDash,Residential,Main Street,6.5,5.49,3.20,5.00,40.49,2023-01-15,Delivered,42,Female,Yes,Clear,Light,4.2,24,4.4,Regular
27,FD027,PF Chang's,Chinese,"Orange Chicken, Rice",23.60,41,4.1,Grubhub,Suburbs,Shopping Center,5.8,4.99,2.80,4.25,35.64,2023-01-15,Delivered,36,Male,No,Cloudy,Moderate,4.1,21,4.3,New
28,FD028,Benihana,Japanese,"Hibachi, Sushi",35.40,52,4.0,Uber Eats,University Area,Strip Mall,8.1,7.49,4.25,6.50,53.64,2023-01-15,Delivered,51,Female,Yes,Snow,Heavy,4.0,35,4.1,Regular
29,FD029,Ruth's Chris Steakhouse,Steakhouse,"Filet Mignon, Wine",45.80,58,4.1,DoorDash,Office District,Business Park,9.2,9.99,5.50,8.00,69.29,2023-01-15,Delivered,55,Male,No,Rainy,Heavy,4.1,42,4.2,VIP
30,FD030,Morton's Steakhouse,Steakhouse,"Prime Rib, Lobster",52.60,62,4.0,Grubhub,Downtown,City Center,10.5,11.99,6.30,9.00,79.89,2023-01-15,Delivered,58,Female,Yes,Clear,Light,4.0,48,4.1,Regular
31,FD031,Shake Shack,Burgers,"ShackBurger, Shake",14.20,21,4.6,Uber Eats,Residential,Main Street,2.8,2.99,1.70,2.75,21.64,2023-01-15,Delivered,26,Male,No,Cloudy,Moderate,4.5,8,4.8,New
32,FD032,In-N-Out Burger,Burgers,"Double-Double, Fries",8.95,16,4.8,DoorDash,Suburbs,Mall District,1.9,1.99,1.00,1.75,13.69,2023-01-15,Delivered,24,Female,Yes,Snow,Heavy,4.7,5,4.9,Regular
33,FD033,Whataburger,Burgers,"Whataburger, Tots",11.50,19,4.5,Grubhub,University Area,Strip Mall,2.4,2.25,1.35,2.00,17.10,2023-01-15,Delivered,27,Male,No,Rainy,Heavy,4.4,6,4.7,VIP
34,FD034,Culver's,Burgers,"ButterBurger, Custard",13.80,22,4.4,Uber Eats,Office District,Business Park,3.1,2.99,1.65,2.50,20.94,2023-01-15,Delivered,30,Female,Yes,Clear,Light,4.3,7,4.6,Regular
35,FD035,White Castle,Burgers,"Sliders, Fries",9.25,14,4.3,DoorDash,Downtown,Plaza,1.6,1.99,1.10,1.50,13.84,2023-01-15,Delivered,22,Male,No,Cloudy,Moderate,4.2,4,4.5,New
36,FD036,Jack in the Box,Fast Food,"Tacos, Fries",10.60,18,4.2,Grubhub,Residential,Main Street,2.2,2.25,1.25,1.75,15.85,2023-01-15,Delivered,25,Female,Yes,Snow,Heavy,4.1,5,4.4,Regular
37,FD037,Carl's Jr,Fast Food,"Western Bacon Cheeseburger",12.40,20,4.1,Uber Eats,Suburbs,Shopping Center,2.7,2.50,1.45,2.25,18.60,2023-01-15,Delivered,28,Male,No,Rainy,Heavy,4.0,6,4.3,VIP
38,FD038,Hardee's,Fast Food,"Thickburger, Fries",11.80,19,4.2,DoorDash,University Area,Strip Mall,2.5,2.25,1.35,2.00,17.40,2023-01-15,Delivered,26,Female,Yes,Clear,Light,4.1,5,4.4,Regular
39,FD039,Arby's,Fast Food,"Beef 'n Cheddar, Curly Fries",13.20,21,4.1,Grubhub,Office District,Business Park,2.9,2.99,1.55,2.50,20.24,2023-01-15,Delivered,29,Male,No,Cloudy,Moderate,4.0,6,4.3,New
40,FD040,Sonic Drive-In,Fast Food,"Chili Cheese Tots, Shake",10.90,17,4.3,Uber Eats,Downtown,City Center,2.1,2.25,1.30,1.75,16.20,2023-01-15,Delivered,24,Female,Yes,Snow,Heavy,4.2,4,4.5,Regular
41,FD041,Popeyes,Fast Food,"Chicken Sandwich, Biscuit",11.75,18,4.4,DoorDash,Residential,Main Street,2.3,2.25,1.40,2.00,17.40,2023-01-15,Delivered,27,Male,No,Rainy,Heavy,4.3,5,4.6,VIP
42,FD042,Church's Chicken,Fast Food,"Chicken Tenders, Honey Biscuit",9.80,16,4.2,Grubhub,Suburbs,Mall District,2.0,1.99,1.15,1.50,14.44,2023-01-15,Delivered,25,Female,Yes,Clear,Light,4.1,4,4.4,Regular
43,FD043,Bojangles,Fast Food,"Cajun Filet Biscuit, Fries",8.95,15,4.3,Uber Eats,University Area,Strip Mall,1.8,1.99,1.05,1.25,13.24,2023-01-15,Delivered,23,Male,No,Cloudy,Moderate,4.2,3,4.5,New
44,FD044,Raising Cane's,Fast Food,"Chicken Fingers, Sauce",12.50,17,4.5,DoorDash,Office District,Business Park,2.4,2.50,1.50,2.25,18.75,2023-01-15,Delivered,26,Female,Yes,Snow,Heavy,4.4,4,4.7,Regular
45,FD045,Zaxby's,Fast Food,"Chicken Sandwich, Wings",13.80,19,4.2,Grubhub,Downtown,Plaza,2.6,2.99,1.65,2.50,20.94,2023-01-15,Delivered,28,Male,No,Rainy,Heavy,4.1,5,4.4,VIP
46,FD046,Wingstop,Wings,"Boneless Wings, Fries",16.20,24,4.3,Uber Eats,Residential,Main Street,3.2,3.49,1.95,3.00,24.64,2023-01-15,Delivered,31,Female,Yes,Clear,Light,4.2,8,4.5,Regular
47,FD047,Buffalo Wild Wings,Sports Bar,"Traditional Wings, Beer",22.40,35,4.1,DoorDash,Suburbs,Shopping Center,4.8,4.99,2.70,4.00,34.09,2023-01-15,Delivered,35,Male,No,Cloudy,Moderate,4.0,12,4.3,New
48,FD048,Hooters,American,"Wings, Fries",19.60,33,4.1,Grubhub,University Area,Strip Mall,4.6,3.99,2.35,3.50,29.44,2023-01-15,Delivered,31,Female,Yes,Snow,Heavy,4.0,15,4.5,Regular
49,FD049,Chicken Express,Fast Food,"Chicken Strips, Biscuit",10.50,16,4.2,Uber Eats,Office District,Business Park,2.2,2.25,1.25,1.75,15.75,2023-01-15,Delivered,26,Male,No,Rainy,Heavy,4.1,4,4.4,VIP
50,FD050,Golden Chick,Fast Food,"Golden Tenders, Roll",9.25,15,4.3,DoorDash,Downtown,City Center,1.9,1.99,1.10,1.50,13.84,2023-01-15,Delivered,24,Female,Yes,Clear,Light,4.2,3,4.5,Regular
51,FD051,Little Caesars,Pizza,"Hot-N-Ready Pizza",8.50,12,4.1,Grubhub,Residential,Main Street,1.5,1.99,1.00,1.25,12.74,2023-01-15,Delivered,22,Male,No,Cloudy,Moderate,4.0,2,4.3,New
52,FD052,Papa Murphy's,Pizza,"Take 'N Bake Pizza",14.20,20,4.2,Uber Eats,Suburbs,Mall District,2.8,2.99,1.70,2.50,21.39,2023-01-15,Delivered,29,Female,Yes,Snow,Heavy,4.1,5,4.4,Regular
53,FD053,Marco's Pizza,Pizza,"Pepperoni Magnifico",16.80,25,4.3,DoorDash,University Area,Strip Mall,3.2,3.49,2.00,3.00,25.29,2023-01-15,Delivered,32,Male,No,Rainy,Heavy,4.2,8,4.5,VIP
54,FD054,Jet's Pizza,Pizza,"Detroit Style Pizza",18.50,28,4.1,Grubhub,Office District,Business Park,3.8,3.99,2.20,3.25,27.94,2023-01-15,Delivered,34,Female,Yes,Clear,Light,4.0,10,4.3,Regular
55,FD055,Blaze Pizza,Pizza,"Build Your Own Pizza",12.40,18,4.4,Uber Eats,Downtown,Plaza,2.4,2.50,1.45,2.00,18.35,2023-01-15,Delivered,27,Male,No,Cloudy,Moderate,4.3,6,4.6,New
56,FD056,Mod Pizza,Pizza,"MOD Pizza, Salad",11.80,16,4.3,DoorDash,Residential,Main Street,2.2,2.25,1.35,1.75,17.15,2023-01-15,Delivered,25,Female,Yes,Snow,Heavy,4.2,5,4.5,Regular
57,FD057,Pie Five,Pizza,"Personal Pizza, Wings",13.60,19,4.2,Grubhub,Suburbs,Shopping Center,2.6,2.99,1.60,2.25,20.44,2023-01-15,Delivered,28,Male,No,Rainy,Heavy,4.1,6,4.4,VIP
58,FD058,California Pizza Kitchen,Pizza,"BBQ Chicken Pizza",19.20,32,4.1,Uber Eats,University Area,Strip Mall,4.2,3.99,2.30,3.50,28.99,2023-01-15,Delivered,36,Female,Yes,Clear,Light,4.0,12,4.3,Regular
59,FD059,Boston Market,American,"Rotisserie Chicken, Sides",15.80,26,4.2,DoorDash,Office District,Business Park,3.5,3.49,1.90,2.75,23.94,2023-01-15,Delivered,33,Male,No,Cloudy,Moderate,4.1,9,4.4,New
60,FD060,Krispy Kreme,Dessert,"Original Glazed Dozen",8.95,14,4.6,Grubhub,Downtown,City Center,1.8,1.99,1.05,1.50,13.49,2023-01-15,Delivered,24,Female,Yes,Snow,Heavy,4.5,2,4.8,Regular
61,FD061,Dunkin',Coffee,"Coffee, Donuts",6.50,12,4.4,Uber Eats,Residential,Main Street,1.2,1.99,0.80,1.25,10.54,2023-01-15,Delivered,26,Male,No,Rainy,Heavy,4.3,1,4.6,VIP
62,FD062,Tim Hortons,Coffee,"Coffee, Timbits",5.25,10,4.5,DoorDash,Suburbs,Mall District,1.0,1.99,0.70,1.00,8.94,2023-01-15,Delivered,23,Female,Yes,Clear,Light,4.4,1,4.7,Regular
63,FD063,Costa Coffee,Coffee,"Cappuccino, Pastry",7.80,13,4.3,Grubhub,University Area,Strip Mall,1.4,1.99,0.95,1.25,11.99,2023-01-15,Delivered,25,Male,No,Cloudy,Moderate,4.2,2,4.5,New
64,FD064,Peet's Coffee,Coffee,"Latte, Muffin",8.20,14,4.4,Uber Eats,Office District,Business Park,1.5,1.99,1.00,1.50,12.69,2023-01-15,Delivered,28,Female,Yes,Snow,Heavy,4.3,2,4.6,Regular
65,FD065,Coffee Bean,Coffee,"Ice Blended, Sandwich",9.40,15,4.2,DoorDash,Downtown,Plaza,1.6,1.99,1.10,1.75,14.24,2023-01-15,Delivered,30,Male,No,Rainy,Heavy,4.1,3,4.4,VIP
66,FD066,Jamba Juice,Smoothies,"Strawberry Smoothie",7.50,11,4.5,Grubhub,Residential,Main Street,1.1,1.99,0.90,1.25,11.64,2023-01-15,Delivered,24,Female,Yes,Clear,Light,4.4,1,4.7,Regular
67,FD067,Smoothie King,Smoothies,"Protein Smoothie",8.90,13,4.3,Uber Eats,Suburbs,Shopping Center,1.3,1.99,1.05,1.50,13.44,2023-01-15,Delivered,26,Male,No,Cloudy,Moderate,4.2,2,4.5,New
68,FD068,Tropical Smoothie,Smoothies,"Tropical Smoothie",7.20,12,4.4,DoorDash,University Area,Strip Mall,1.2,1.99,0.85,1.25,11.29,2023-01-15,Delivered,25,Female,Yes,Snow,Heavy,4.3,1,4.6,Regular
69,FD069,Orange Julius,Smoothies,"Orange Julius",6.80,10,4.2,Grubhub,Office District,Business Park,1.0,1.99,0.80,1.00,10.79,2023-01-15,Delivered,23,Male,No,Rainy,Heavy,4.1,1,4.4,VIP
70,FD070,Robeks,Smoothies,"Green Smoothie",8.40,12,4.3,Uber Eats,Downtown,City Center,1.2,1.99,1.00,1.25,12.64,2023-01-15,Delivered,27,Female,Yes,Clear,Light,4.2,2,4.5,Regular
71,FD071,Cold Stone Creamery,Ice Cream,"Ice Cream, Mix-ins",9.60,14,4.4,DoorDash,Residential,Main Street,1.4,1.99,1.15,1.50,14.24,2023-01-15,Delivered,26,Male,No,Cloudy,Moderate,4.3,2,4.6,New
72,FD072,Baskin-Robbins,Ice Cream,"Ice Cream, Cone",6.20,11,4.3,Grubhub,Suburbs,Mall District,1.1,1.99,0.75,1.00,9.94,2023-01-15,Delivered,24,Female,Yes,Snow,Heavy,4.2,1,4.5,Regular
73,FD073,Dairy Queen,Ice Cream,"Blizzard, Fries",8.80,13,4.2,Uber Eats,University Area,Strip Mall,1.3,1.99,1.05,1.25,13.09,2023-01-15,Delivered,25,Male,No,Rainy,Heavy,4.1,2,4.4,VIP
74,FD074,Ben & Jerry's,Ice Cream,"Pint, Toppings",7.40,12,4.4,DoorDash,Office District,Business Park,1.2,1.99,0.90,1.00,11.29,2023-01-15,Delivered,28,Female,Yes,Clear,Light,4.3,1,4.6,Regular
75,FD075,Haagen-Dazs,Ice Cream,"Ice Cream Bar",5.90,10,4.3,Grubhub,Downtown,Plaza,1.0,1.99,0.70,0.75,9.34,2023-01-15,Delivered,26,Male,No,Cloudy,Moderate,4.2,1,4.5,New
76,FD076,Yogurtland,Frozen Yogurt,"Frozen Yogurt, Toppings",6.80,11,4.2,Uber Eats,Residential,Main Street,1.1,1.99,0.80,1.00,10.59,2023-01-15,Delivered,24,Female,Yes,Snow,Heavy,4.1,1,4.4,Regular
77,FD077,Pinkberry,Frozen Yogurt,"Frozen Yogurt, Fruit",7.20,12,4.3,DoorDash,Suburbs,Shopping Center,1.2,1.99,0.85,1.25,11.29,2023-01-15,Delivered,25,Male,No,Rainy,Heavy,4.2,1,4.5,VIP
78,FD078,Menchie's,Frozen Yogurt,"Frozen Yogurt, Candy",6.50,10,4.2,Grubhub,University Area,Strip Mall,1.0,1.99,0.75,1.00,10.24,2023-01-15,Delivered,23,Female,Yes,Clear,Light,4.1,1,4.4,Regular
79,FD079,Tutti Frutti,Frozen Yogurt,"Frozen Yogurt, Nuts",7.80,13,4.3,Uber Eats,Office District,Business Park,1.3,1.99,0.95,1.25,11.99,2023-01-15,Delivered,27,Male,No,Cloudy,Moderate,4.2,2,4.5,New
80,FD080,Red Mango,Frozen Yogurt,"Frozen Yogurt, Granola",8.40,14,4.4,DoorDash,Downtown,City Center,1.4,1.99,1.00,1.50,12.89,2023-01-15,Delivered,28,Female,Yes,Snow,Heavy,4.3,2,4.6,Regular
81,FD081,Cinnabon,Bakery,"Cinnamon Roll, Coffee",6.50,10,4.5,Grubhub,Residential,Main Street,1.0,1.99,0.80,1.00,10.29,2023-01-15,Delivered,24,Male,No,Rainy,Heavy,4.4,1,4.7,VIP
82,FD082,Auntie Anne's,Bakery,"Pretzel, Lemonade",5.80,9,4.4,Uber Eats,Suburbs,Mall District,0.9,1.99,0.70,0.75,9.24,2023-01-15,Delivered,22,Female,Yes,Clear,Light,4.3,1,4.6,Regular
83,FD083,Wetzel's Pretzels,Bakery,"Pretzel, Cheese",6.20,10,4.3,DoorDash,University Area,Strip Mall,1.0,1.99,0.75,1.00,9.94,2023-01-15,Delivered,23,Male,No,Cloudy,Moderate,4.2,1,4.5,New
84,FD084,Pretzelmaker,Bakery,"Pretzel, Dip",5.90,9,4.2,Grubhub,Office District,Business Park,0.9,1.99,0.70,0.75,9.34,2023-01-15,Delivered,25,Female,Yes,Snow,Heavy,4.1,1,4.4,Regular
85,FD085,Great American Cookies,Bakery,"Cookie, Milk",4.80,8,4.3,Uber Eats,Downtown,Plaza,0.8,1.99,0.60,0.50,7.89,2023-01-15,Delivered,21,Male,No,Rainy,Heavy,4.2,1,4.5,VIP
86,FD086,Mrs. Fields,Bakery,"Cookie, Brownie",5.20,9,4.2,DoorDash,Residential,Main Street,0.9,1.99,0.65,0.75,8.59,2023-01-15,Delivered,23,Female,Yes,Clear,Light,4.1,1,4.4,Regular
87,FD087,Cookie Company,Bakery,"Cookie, Coffee",4.60,8,4.1,Grubhub,Suburbs,Shopping Center,0.8,1.99,0.55,0.50,7.64,2023-01-15,Delivered,22,Male,No,Cloudy,Moderate,4.0,1,4.3,New
88,FD088,Insomnia Cookies,Bakery,"Cookie, Milk",6.80,11,4.4,Uber Eats,University Area,Strip Mall,1.1,1.99,0.80,1.00,10.59,2023-01-15,Delivered,24,Female,Yes,Snow,Heavy,4.3,1,4.6,Regular
89,FD089,Crumbl Cookies,Bakery,"Cookie Box",12.50,15,4.5,DoorDash,Office District,Business Park,1.5,1.99,1.50,2.00,17.99,2023-01-15,Delivered,26,Male,No,Rainy,Heavy,4.4,2,4.7,VIP
90,FD090,Levain Bakery,Bakery,"Cookie, Coffee",8.40,12,4.6,Grubhub,Downtown,City Center,1.2,1.99,1.00,1.25,12.64,2023-01-15,Delivered,28,Female,Yes,Clear,Light,4.5,2,4.8,Regular
91,FD091,Panera Bread,Cafe,"Soup, Sandwich",10.50,19,4.6,Uber Eats,Residential,Main Street,2.3,2.25,1.25,2.25,16.25,2023-01-15,Delivered,27,Male,No,Cloudy,Moderate,4.4,8,4.7,New
92,FD092,Au Bon Pain,Cafe,"Sandwich, Coffee",9.80,16,4.5,DoorDash,Suburbs,Mall District,2.0,2.25,1.15,1.75,14.95,2023-01-15,Delivered,29,Female,Yes,Snow,Heavy,4.3,6,4.6,Regular
93,FD093,Corner Bakery,Cafe,"Breakfast, Coffee",11.20,18,4.4,Grubhub,University Area,Strip Mall,2.2,2.25,1.30,2.00,16.70,2023-01-15,Delivered,31,Male,No,Rainy,Heavy,4.2,7,4.5,VIP
94,FD094,Einstein Bros,Cafe,"Bagel, Coffee",7.60,13,4.3,Uber Eats,Office District,Business Park,1.6,1.99,0.90,1.25,11.74,2023-01-15,Delivered,26,Female,Yes,Clear,Light,4.1,3,4.4,Regular
95,FD095,Bruegger's Bagels,Cafe,"Bagel, Cream Cheese",6.80,12,4.2,DoorDash,Downtown,Plaza,1.4,1.99,0.80,1.00,10.59,2023-01-15,Delivered,24,Male,No,Cloudy,Moderate,4.0,2,4.3,New
96,FD096,Noah's Bagels,Cafe,"Bagel, Lox",8.40,14,4.3,Grubhub,Residential,Main Street,1.6,1.99,1.00,1.25,12.64,2023-01-15,Delivered,27,Female,Yes,Snow,Heavy,4.2,3,4.5,Regular
97,FD097,Manhattan Bagel,Cafe,"Bagel, Coffee",7.20,13,4.2,Uber Eats,Suburbs,Shopping Center,1.4,1.99,0.85,1.00,11.04,2023-01-15,Delivered,25,Male,No,Rainy,Heavy,4.1,2,4.4,VIP
98,FD098,Big Apple Bagels,Cafe,"Bagel, Spread",6.50,12,4.1,DoorDash,University Area,Strip Mall,1.2,1.99,0.75,0.75,9.99,2023-01-15,Delivered,23,Female,Yes,Clear,Light,4.0,2,4.3,Regular
99,FD099,Goldberg's Bagels,Cafe,"Bagel, Schmear",7.80,14,4.3,Grubhub,Office District,Business Park,1.6,1.99,0.95,1.25,11.99,2023-01-15,Delivered,28,Male,No,Cloudy,Moderate,4.2,3,4.5,New
100,FD100,Ess-a-Bagel,Cafe,"Bagel, Coffee",8.20,15,4.4,Uber Eats,Downtown,City Center,1.8,1.99,1.00,1.50,12.69,2023-01-15,Delivered,30,Female,Yes,Snow,Heavy,4.3,3,4.6,Regular
