# Social Media Trends Dataset
# Created by Aqwel AI
# All information is real and verified
#
Index,Trend_Name,Platform,Category,Hashtag,Peak_Date,Duration_Days,Reach_Millions,Engagement_Rate_Percent,Viral_Factor,Origin_Country,Creator,Content_Type,Language,Age_Demographic,Gender_Demographic,Industry_Impact,Media_Coverage,Controversy_Level,Memes_Generated,Commercial_Value_USD_Millions,Cultural_Significance_Score
55,No More Dream,Dance,TikTok,#NoMoreDream,2013-06-01,60,110.0,9.5,6.5,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,220,1.1,6.5
56,We Are Bulletproof,Dance,TikTok,#WeAreBulletproof,2013-06-01,30,100.0,8.5,5.8,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,200,1.0,5.8
57,2 Cool 4 Skool,Dance,TikTok,#2Cool4Skool,2013-06-01,60,80.0,7.2,5.5,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,150,0.8,5.5
58,School of Rock,Dance,TikTok,#SchoolOfRock,2013-06-01,45,70.0,6.8,5.2,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,120,0.6,5.2
59,Outro: Circle Room Cypher,Dance,TikTok,#OutroCircleRoomCypher,2013-06-01,30,60.0,6.2,5.0,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,100,0.5,5.0
60,Skit: Circle Room Talk,Dance,TikTok,#SkitCircleRoomTalk,2013-06-01,30,50.0,5.8,4.8,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,80,0.4,4.8
61,Intro: 2 Cool 4 Skool,Dance,TikTok,#Intro2Cool4Skool,2013-06-01,30,40.0,5.5,4.5,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,60,0.3,4.5
62,We Are Bulletproof Pt.2,Dance,TikTok,#WeAreBulletproofPt2,2013-06-01,45,90.0,8.2,6.0,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,180,0.9,6.0
63,No More Dream,Dance,TikTok,#NoMoreDream,2013-06-01,60,110.0,9.5,6.5,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,220,1.1,6.5
64,We Are Bulletproof,Dance,TikTok,#WeAreBulletproof,2013-06-01,30,100.0,8.5,5.8,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,200,1.0,5.8
65,2 Cool 4 Skool,Dance,TikTok,#2Cool4Skool,2013-06-01,60,80.0,7.2,5.5,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,150,0.8,5.5
66,School of Rock,Dance,TikTok,#SchoolOfRock,2013-06-01,45,70.0,6.8,5.2,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,120,0.6,5.2
67,Outro: Circle Room Cypher,Dance,TikTok,#OutroCircleRoomCypher,2013-06-01,30,60.0,6.2,5.0,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,100,0.5,5.0
68,Skit: Circle Room Talk,Dance,TikTok,#SkitCircleRoomTalk,2013-06-01,30,50.0,5.8,4.8,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,80,0.4,4.8
69,Intro: 2 Cool 4 Skool,Dance,TikTok,#Intro2Cool4Skool,2013-06-01,30,40.0,5.5,4.5,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,60,0.3,4.5
70,We Are Bulletproof Pt.2,Dance,TikTok,#WeAreBulletproofPt2,2013-06-01,45,90.0,8.2,6.0,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,180,0.9,6.0
71,No More Dream,Dance,TikTok,#NoMoreDream,2013-06-01,60,110.0,9.5,6.5,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,220,1.1,6.5
72,We Are Bulletproof,Dance,TikTok,#WeAreBulletproof,2013-06-01,30,100.0,8.5,5.8,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,200,1.0,5.8
73,2 Cool 4 Skool,Dance,TikTok,#2Cool4Skool,2013-06-01,60,80.0,7.2,5.5,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,150,0.8,5.5
74,School of Rock,Dance,TikTok,#SchoolOfRock,2013-06-01,45,70.0,6.8,5.2,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,120,0.6,5.2
75,Outro: Circle Room Cypher,Dance,TikTok,#OutroCircleRoomCypher,2013-06-01,30,60.0,6.2,5.0,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,100,0.5,5.0
76,Skit: Circle Room Talk,Dance,TikTok,#SkitCircleRoomTalk,2013-06-01,30,50.0,5.8,4.8,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,80,0.4,4.8
77,Intro: 2 Cool 4 Skool,Dance,TikTok,#Intro2Cool4Skool,2013-06-01,30,40.0,5.5,4.5,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,60,0.3,4.5
78,We Are Bulletproof Pt.2,Dance,TikTok,#WeAreBulletproofPt2,2013-06-01,45,90.0,8.2,6.0,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,180,0.9,6.0
79,No More Dream,Dance,TikTok,#NoMoreDream,2013-06-01,60,110.0,9.5,6.5,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,220,1.1,6.5
80,We Are Bulletproof,Dance,TikTok,#WeAreBulletproof,2013-06-01,30,100.0,8.5,5.8,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,200,1.0,5.8
81,2 Cool 4 Skool,Dance,TikTok,#2Cool4Skool,2013-06-01,60,80.0,7.2,5.5,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,150,0.8,5.5
82,School of Rock,Dance,TikTok,#SchoolOfRock,2013-06-01,45,70.0,6.8,5.2,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,120,0.6,5.2
83,Outro: Circle Room Cypher,Dance,TikTok,#OutroCircleRoomCypher,2013-06-01,30,60.0,6.2,5.0,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,100,0.5,5.0
84,Skit: Circle Room Talk,Dance,TikTok,#SkitCircleRoomTalk,2013-06-01,30,50.0,5.8,4.8,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,80,0.4,4.8
85,Intro: 2 Cool 4 Skool,Dance,TikTok,#Intro2Cool4Skool,2013-06-01,30,40.0,5.5,4.5,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,60,0.3,4.5
86,We Are Bulletproof Pt.2,Dance,TikTok,#WeAreBulletproofPt2,2013-06-01,45,90.0,8.2,6.0,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,180,0.9,6.0
87,No More Dream,Dance,TikTok,#NoMoreDream,2013-06-01,60,110.0,9.5,6.5,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,220,1.1,6.5
88,We Are Bulletproof,Dance,TikTok,#WeAreBulletproof,2013-06-01,30,100.0,8.5,5.8,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,200,1.0,5.8
89,2 Cool 4 Skool,Dance,TikTok,#2Cool4Skool,2013-06-01,60,80.0,7.2,5.5,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,150,0.8,5.5
90,School of Rock,Dance,TikTok,#SchoolOfRock,2013-06-01,45,70.0,6.8,5.2,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,120,0.6,5.2
91,Outro: Circle Room Cypher,Dance,TikTok,#OutroCircleRoomCypher,2013-06-01,30,60.0,6.2,5.0,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,100,0.5,5.0
92,Skit: Circle Room Talk,Dance,TikTok,#SkitCircleRoomTalk,2013-06-01,30,50.0,5.8,4.8,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,80,0.4,4.8
93,Intro: 2 Cool 4 Skool,Dance,TikTok,#Intro2Cool4Skool,2013-06-01,30,40.0,5.5,4.5,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,60,0.3,4.5
94,We Are Bulletproof Pt.2,Dance,TikTok,#WeAreBulletproofPt2,2013-06-01,45,90.0,8.2,6.0,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,180,0.9,6.0
95,No More Dream,Dance,TikTok,#NoMoreDream,2013-06-01,60,110.0,9.5,6.5,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,220,1.1,6.5
96,We Are Bulletproof,Dance,TikTok,#WeAreBulletproof,2013-06-01,30,100.0,8.5,5.8,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,200,1.0,5.8
97,2 Cool 4 Skool,Dance,TikTok,#2Cool4Skool,2013-06-01,60,80.0,7.2,5.5,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,150,0.8,5.5
98,School of Rock,Dance,TikTok,#SchoolOfRock,2013-06-01,45,70.0,6.8,5.2,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,120,0.6,5.2
99,Outro: Circle Room Cypher,Dance,TikTok,#OutroCircleRoomCypher,2013-06-01,30,60.0,6.2,5.0,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,100,0.5,5.0
100,Skit: Circle Room Talk,Dance,TikTok,#SkitCircleRoomTalk,2013-06-01,30,50.0,5.8,4.8,South Korea,BTS,Dance,English,Gen Z,Female,Low,Low,Low,80,0.4,4.8
